Geo Point;Geo Shape;Numéro Opération;Adresse (Dénomination opération);Année du financement/agrément;Bailleur social;Nombre total de logements financés;dont nombre de logements PLA I;dont nombre de logements PLUS;dont nombre de logements PLUS CD;dont nombre de logements PLS;Mode de réalisation;Commentaires;Arrondissements;Nature de programme;Coord_X_LB93;Coord_Y_LB93
48.8315263639, 2.37517562099;"{""type"": ""Point"", ""coordinates"": [2.375175620987512, 48.83152636389603]}";2295.0;ZAC PARIS RIVE GAUCHE LOT T7B1;2013;IMM 3F;75;13;38;0;24;construction neuve;;13;logement familial;654132.714;6859233.73
48.8912313484, 2.31065012049;"{""type"": ""Point"", ""coordinates"": [2.310650120492304, 48.89123134841913]}";2296.0;ZAC CLICHY BATIGNOLLES LOT O6A;2013;IMM 3F;74;15;36;0;23;construction neuve;;17;logement familial;649454.0801;6865911.819
48.8949232643, 2.34906674271;"{""type"": ""Point"", ""coordinates"": [2.349066742711571, 48.894923264339475]}";2303.0;4, PASSAGE KRACHER;2013;HENEO;1;1;0;0;0;construction neuve;;18;résidence sociale pour démuni;652274.2607;6866298.435
48.8594766926, 2.34203068917;"{""type"": ""Point"", ""coordinates"": [2.342030689167721, 48.85947669255655]}";2308.0;LA SAMARITAINE 14, 18 ET 30 RUE DE L'ARBRE SEC;2013;PARIS HAB;96;24;48;0;24;construction neuve;;1;logement familial;651725.5532;6862361.292
48.8481751678, 2.35339896995;"{""type"": ""Point"", ""coordinates"": [2.353398969949339, 48.848175167760225]}";2310.0;25, RUE DU CARDINAL LEMOINE;2013;PARIS HAB;32;10;13;0;9;construction neuve;;5;logement familial;652549.3216;6861097.774
48.8668153355, 2.30371080071;"{""type"": ""Point"", ""coordinates"": [2.30371080070744, 48.866815335528706]}";2312.0;6, RUE CHAMBIGES;2013;PARIS HAB;1;0;1;0;0;construction neuve;;8;logement familial;648921.3338;6863201.395
48.8744508261, 2.31841703607;"{""type"": ""Point"", ""coordinates"": [2.31841703606739, 48.874450826076]}";2313.0;6, RUE DE LA BOETIE;2013;PARIS HAB;1;0;1;0;0;construction neuve;;8;logement familial;650007.4613;6864040.99
48.8755861165, 2.32986041771;"{""type"": ""Point"", ""coordinates"": [2.329860417706752, 48.875586116509176]}";2314.0;3, AVENUE DU COQ;2013;PARIS HAB;29;8;16;0;5;construction neuve;;9;logement familial;650847.858;6864160.042
48.8680886484, 2.37907721698;"{""type"": ""Point"", ""coordinates"": [2.379077216979276, 48.868088648421185]}";2324.0;GROUPE JEAN PIERRE TIMBAUD 106, RUE JEAN PIERRE TIMBAUD;2013;PARIS HAB;1;0;1;0;0;acquisition réhabilitation;;11;logement familial;654451.0865;6863296.864
48.8451341032, 2.38931750548;"{""type"": ""Point"", ""coordinates"": [2.389317505480993, 48.84513410324339]}";2327.0;75, RUE DE REUILLY;2013;PARIS HAB;106;0;106;0;0;construction neuve;;12;établissement d'hébergement pour personnes âgées dépendantes;655182.5264;6860738.651
48.8364202572, 2.3341325772;"{""type"": ""Point"", ""coordinates"": [2.334132577199342, 48.83642025717516]}";2337.0;88, AVENUE DENFERT ROCHEREAU;2013;PARIS HAB;75;0;0;0;75;construction neuve;;14;foyer pour personnes handicapées;651124.4725;6859802.5
48.8297161935, 2.3018465938;"{""type"": ""Point"", ""coordinates"": [2.301846593802806, 48.82971619351137]}";2338.0;115, RUE BRANCION - 1, RUE CHAUVELOT;2013;PARIS HAB;12;0;12;0;0;construction neuve;;15;logement familial;648748.1092;6859077.555
48.841448645, 2.28083281574;"{""type"": ""Point"", ""coordinates"": [2.280832815735237, 48.84144864503529]}";2340.0;170 RUE SAINT CHARLES;2013;PARIS HAB;1;1;0;0;0;acquisition conventionnement;;15;logement familial;647217.3977;6860395.911
